datetime,power,temp,dew,precip,snow,windspeed,winddir,cloudcover,solarradiation,uvindex,Day sin,Day cos,Month sin,Month cos,Year sin,Year cos
2022-04-03 04:00:00,0.0,-2.9,-4.7,0.0,0.0,5.0,109.0,0.0,0.0,0.0,0.8660254037781147,0.5000000000109535,0.4226182617411052,-0.9063077870364608,0.9997702711023859,-0.0214337355554674
2022-04-03 05:00:00,0.0,-2.6,-4.6,0.0,0.0,7.5,40.0,0.0,0.0,0.0,0.965925826288195,0.25881904510577974,0.4027466898589946,-0.9153114791193339,0.9997546509502903,-0.022150347700731873
2022-04-03 06:00:00,0.0,-2.3,-4.4,0.0,0.0,4.7,80.0,0.0,0.0,0.0,1.0,8.651801028102566e-12,0.3826834323651957,-0.9238795325112429,0.9997385171472947,-0.022866948465601302
2022-04-03 07:00:00,14.0,-1.6,-4.1,0.0,0.0,5.7,40.0,1.1,30.0,0.0,0.9659258262889072,-0.2588190451031218,0.36243803828365334,-0.9320078692828173,0.9997218697016871,-0.02358353748195956
2022-04-03 08:00:00,314.0,-0.5,-4.0,0.0,0.0,7.2,40.0,0.0,172.0,2.0,0.8660254037867664,-0.4999999999959681,0.34202014332546354,-0.939692620785983,0.9997047086220207,-0.024300114381639724
2022-04-03 09:00:00,1022.0,0.8,-4.3,0.0,0.0,12.2,40.0,0.0,316.0,3.0,0.7071067811935715,-0.7071067811795235,0.3214394653045196,-0.9469301294946447,0.9996870339171123,-0.025016678796481097
2022-04-03 10:00:00,2292.0,2.5,-4.8,0.0,0.0,10.1,50.0,48.8,474.0,5.0,0.5000000000005711,-0.866025403784109,0.30070579950548204,-0.9537169507478458,0.999668845596043,-0.02573323035832939
2022-04-03 11:00:00,2640.0,3.6,-8.0,0.0,0.0,16.9,59.0,70.8,289.0,3.0,0.25881904510825576,-0.9659258262875317,0.2798290140320492,-0.9600498543856205,0.9996501436681573,-0.026449768699036928
2022-04-03 12:00:00,1614.0,4.0,-8.3,0.0,0.0,16.5,50.0,98.4,502.0,5.0,1.1215145179697084e-11,-1.0,0.2588190451034235,-0.9659258262888264,0.9996309281430639,-0.02716629345046282
2022-04-03 13:00:00,4148.0,5.0,-8.7,0.0,0.0,8.3,80.0,0.0,546.0,5.0,-0.2588190451006458,-0.9659258262895707,0.23768589232691917,-0.9713420698130789,0.9996111990306353,-0.027882804244473165
2022-04-03 14:00:00,4450.0,6.1,-8.6,0.0,0.0,13.7,59.0,0.1,469.0,5.0,-0.4999999999937482,-0.8660254037880482,0.2164396139386902,-0.9762960071198031,0.9995909563410079,-0.028599300712941225
2022-04-03 15:00:00,4140.0,6.1,-8.7,0.0,0.0,12.3,10.0,99.7,420.0,4.0,-0.707106781177711,-0.7071067811953841,0.195090322016555,-0.9807852804031456,0.9995702000845819,-0.029315782487747626
2022-04-03 16:00:00,3934.0,5.5,-7.9,0.0,0.0,15.5,50.0,91.0,391.0,4.0,-0.8660254037828272,-0.500000000002791,0.17364817766719484,-0.9848077530121614,0.9995489302720214,-0.030032249200780545
2022-04-03 17:00:00,1278.0,6.2,-6.4,0.0,0.0,12.3,50.0,85.2,194.0,2.0,-0.9659258262868682,-0.2588190451107317,0.15212338619001756,-0.9883615104677452,0.9995271469142543,-0.03074870048393589
2022-04-03 18:00:00,498.0,5.3,-6.6,0.0,0.0,11.1,20.0,71.6,117.0,1.0,-1.0,7.73425897075249e-13,0.13052619221998768,-0.9914448613738188,0.9995048500224724,-0.03146513596911751
2022-04-03 19:00:00,202.0,4.4,-6.6,0.0,0.0,7.2,50.0,76.5,20.0,0.0,-0.9659258262902342,0.25881904509816983,0.10886687485173499,-0.9940563382223447,0.9994820396081294,-0.03218155528829417
2022-04-03 20:00:00,2.0,3.2,-6.9,0.0,0.0,6.8,70.0,35.6,0.0,0.0,-0.8660254037893298,0.4999999999915283,0.08715574274907428,-0.9961946980916216,0.9994587156829486,-0.032897958073272504
2022-04-03 21:00:00,0.0,1.5,-5.9,0.0,0.0,1.8,120.0,0.0,0.0,0.0,-0.707106781186907,0.7071067811861882,0.0654031292313954,-0.9978589232385214,0.9994348782589114,-0.03361434395603809
